Filename,BACKGROUND,FEATHER,OUTWEAR,BEAK,HEADWEAR,EYES,EYEWEAR,RARITYSCORE,RANK,LINKcollaboration
1960,teal,robot,gold necklace,cigar,straw hat,freezing beam,sunglasses smoll,0.7666939005215132,26,64d4f295b75ebe5a321d02a8
1814,cancer constellation,yellow,farmer outfit,pipe,watermelon,heart,sleep mask ,0.7615465667117258,27,64d5b519e11651223bad1d2d
996,rain,boorb,bowtie,moustache small,plunger,freezing beam,pink stars glasses,0.7595279656357872,28,64d4f1b627f8488b656a6e65
1279,graveyard,yellow belly,pajamas blue holding pillow,moustache small,tiara pink,crying,pink stars glasses,0.7564695413311984,29,64d4edbc1d86fd023d3fc5ae
1729,pink sky,black,leather jacket black,worm,pirate hat,red laser gold,goggles,0.752136177491984,30,64d4dfc61d86fd023d28f42e
568,thunder,purple,cop uniform,silver,frogi,not normal,red stylish glasses,0.751191197774584,31,64d4f31fc76547f4aa1d553e
1881,green chart,grey,green jacket,cigar,firefighter hat,heart,sleep mask ,0.7416165191464604,32,64d4fb3227f8488b65826fb2
450,red chart,yellow,cop uniform,pipe,headset pink,normal gold,goggles,0.7366686168862406,33,64d4dfbb1d86fd023d28e0da
601,red chart,grey,pink dress,pipe,headlamp,crying,sleep mask ,0.7365876077335365,34,64d4ee231d86fd023d4091f0
1205,graveyard,green,construction vest,moustache big,clown hat,heart,pink stars glasses,0.73383646208534,35,64d4f150c76547f4aa185c7c
2203,green chart,purple,bowtie,cigar,captain hat,crying,sleep mask ,0.7329711862828324,36,64d4edc41d86fd023d3fd04a
620,blue,pink love,cross necklace,gold normal,bowler hat,normal gold,3d glasses,0.7314110466852218,37,64d4edbcc76547f4aa0feaf2
1746,sun,stone,leather jacket black,worm,cone,unibrow,glasses,0.7291627931990972,38,64d4df9dc5e0ce89f1f2ba67
894,pink sky,pink,scarf,silver,cone,heart,glasses,0.7281977206439296,39,64d4eec6c76547f4aa12524a
811,doom gloom,purple,baseball jersey,gold normal,headlamp,pumped up,pink stars glasses,0.7264185066603017,40,64d4edaec76547f4aa0fd473
887,teal,robot,flower,worm,pilot helmet,normal gold,glasses,0.7228558958907165,41,64d4eda81d86fd023d3f9cc5
2079,blue,green,farmer outfit,not normal,pajamas cap,machine,glasses,0.7183310151127454,42,64d4ee0e1d86fd023d406a1e
303,rainbow,robot,gold necklace,small,pajamas cap,machine,glasses,0.7149756071456537,43,64d56660e11651223ba0ccc6
993,purple,fire red,clown outfit,worm,chef hat,pumped up,sunglasses smoll,0.7119541131171613,44,64d4eff5c76547f4aa14f402
1788,rain,pink love,baseball jersey,moustache big,poisoned apple,crying,goggles,0.7117899965569299,45,64d4eec7c76547f4aa1252e4
2168,doom gloom,fire red,leather jacket black,small,cop hat,machine gold,sleep mask ,0.7105504262116134,46,64d4f232e11651223b3ad485
836,thunder,yellow,firefighter uniform,moustache big,captain hat,machine,monocle,0.7097358906329916,47,64d4f4d3c76547f4aa221728
1621,rain,black skull,medal,worm,headlamp,pumped up,3d glasses,0.7092017950593609,48,64d5a95cfe404d876f17fc17
1899,ninja,robot,baseball jersey,small,firefighter hat,normal gold,3d glasses,0.708399912949552,49,64d5b69ac48eb875e04539e1
527,blue sky,brown,tracksuit navy blue,worm,brain,normal gold,glasses,0.7083011077565131,50,64d5b51601156a16ec5d0cb7
1037,diplo sky,yellow,sailor costume,worm,straw hat,black red,goggles,0.7078219983550842,51,64d5b51601156a16ec5d0d86
1475,pink sky,grey,gold necklace,moustache big,firefighter hat,crying,3d glasses,0.7076539392106964,52,64d4ee20c5e0ce89f1098370
2034,teal,black skull,bowtie,silver,straw hat,normal gold,sunglasses smoll,0.7074313607688671,53,64d5b85101156a16ec5d4e38
1110,doom gloom,yellow belly,medal,moustache normal,pan,pumped up,glasses,0.7040047857458505,54,64d4ee1b1d86fd023d408208
1072,blue,boorb,cop uniform,gold big,headlamp,unibrow,sleep mask ,0.700864668030088,55,64d4f64cc76547f4aa25e162
1557,doom gloom,blue,bowtie,moustache normal,pirate hat,cyclops,goggles,0.6979558851895628,56,64d4edb8c76547f4aa0fe454
287,rainbow,red glitch,tracksuit navy blue,big,watermelon,black red,3d glasses,0.6968530490169003,57,64d4f03827f8488b6566c281
2087,grey,boorb,crewneck sweatshirt: pink,pipe,beanie,unibrow,red stylish glasses,0.6939940516964404,58,64d4eda7c76547f4aa0fc18b
783,grey,black,white shirt,pipe,top hat,normal gold,snorkeling,0.6937083602745877,59,64d56660e11651223ba0cbfa
1735,doom gloom,robot,cop uniform,moustache small,headset pink,unibrow,3d glasses,0.6919942373587533,60,64d4f312c76547f4aa1d2fe4
868,beach,white ninja,cross necklace,gold small,crown king,normal,normal,0.688172672107036,61,64d4f11ec76547f4aa17ccea
077,purple,yellow,sailor costume,not normal,rubber duck,heart,pink stars glasses,0.6867640285103772,62,64d4f0cb27f8488b6568137a
801,space,yellow belly,hoodie blue,normal,gm,normal gold,eye patch,0.6858432029934767,63,64d4edc9c5e0ce89f10948fd
387,blue,pink love,baseball jersey,worm,plunger,pumped up,glasses,0.6837808133179083,64,64d4e2a7c76547f4aafe00ef
108,aries constellation,yellow belly,green jacket,small,beanie,normal gold,green stylish glasses,0.681938587492799,65,64d5a957e11651223bab89fe
2139,blue sky,grey,duck floaty,moustache small,chef hat,unibrow,glasses,0.6819025475095545,66,64d4edacc76547f4aa0fceb0
1592,rainbow,grey,green jacket,big,egg & nest,green laser,goggles,0.6808252243605215,67,64d4f0de27f8488b65683d4f
895,space,pink love,detective suit,normal,cone,pumped up,brown aviator,0.6799781781395149,68,64d4ee0d1d86fd023d40689c
1801,teal,black,green jacket,silver,sombrero hat,heart,pink stars glasses,0.6780284599012298,69,64d4f4d5c76547f4aa222028
1002,red chart,yellow,construction vest,moustache normal,top hat,unibrow,brown aviator,0.6775701603157251,70,64d4fb3227f8488b65826fbb
583,grey,green,farmer outfit,pipe,beanie,pumped up,goggles,0.6755435412098066,71,64d5b7a301156a16ec5d3ed0
1885,blue,yellow belly,baseball jersey,moustache normal,pajamas cap,crying,sunglasses,0.6754129573343239,72,64d4f296e11651223b3be0be
1857,sun,purple,firefighter uniform,moustache normal,sunny side up,unibrow,red stylish glasses,0.6737267951945862,73,64d5b69ac48eb875e045396b
2097,graveyard,purple,firefighter uniform,moustache small,beanie,unibrow,eye patch,0.6730674200837584,74,64d5a95ec48eb875e043a834
569,blue,black,sailor costume,pipe,pajamas cap,normal gold,brown aviator,0.6728128533833617,75,64d4f32ee11651223b3da43b
891,thunder,yellow,sailor costume,worm,pan,normal gold,glasses,0.6724487744685155,76,64d4fb0fb75ebe5a3231dfca
249,cancer constellation,black skull,firefighter uniform,normal,apple,black red,monocle,0.6721275729142164,77,64d4f38c27f8488b656fa1b5
1239,thunder,not berb,karate uniform,not normal,beanie,eyebrow,snorkeling,0.6715357190612349,78,64d5b69ac48eb875e04538e5
681,thunder,gold,clown outfit,gold big,brain,eyebrow,red stylish glasses,0.6706331170899437,79,64d4ee3f1d86fd023d40ca1b
092,purple,green,pink dress,moustache normal,baseball cap,not normal,pink stars glasses,0.6685838627115942,80,64d4ee4cc76547f4aa113730
1691,blue,grey,witch robe,pipe,bucket,black red,goggles,0.6646599179172988,81,64d4f4d5c76547f4aa221fb2
611,blue sky,yellow,scarf,small,headset pink,machine,sunglasses smoll,0.6645909649576527,82,64d5a95401156a16ec5b7896
1256,grey,pink,bowtie,pipe,watermelon,pumped up,goggles,0.6637370857104398,83,64d4ee17c5e0ce89f1097e42
2119,teal,purple,white shirt,moustache small,bucket,heart,red stylish glasses,0.6632790063755583,84,64d4f02f1d86fd023d44a92d
928,grey,brown,sailor costume,pipe,plunger,black red,sunglasses,0.6629057149608603,85,64d4df6a1d86fd023d2860b0
179,pink sky,brown,pink dress,moustache normal,witch hat,unibrow,3d glasses,0.6621296801124771,86,64d4f1b727f8488b656a6fb2
481,graveyard,pink love,gold necklace,normal,cavalier hat ,black red,red stylish glasses,0.6613091009948147,87,64d4f4d5c76547f4aa221e14
2117,purple,pink,pajamas blue holding pillow,cigar,cavalier hat ,crying,brown aviator,0.6600281197252149,88,64d4ee1bc5e0ce89f10982ba
904,purple,yellow,purple jacket,moustache big,clown hat,heart,3d glasses,0.6591129921208708,89,64d4e036c5e0ce89f1f3e13f
1237,purple,grey,construction vest,moustache small,pilot helmet,normal gold,glasses,0.65746554489195,90,64d4ee85c5e0ce89f109d81b
1925,purple,grey,white shirt,pipe,top hat,black red,pink stars glasses,0.6568892058960861,91,64d4f4d5c76547f4aa221ffa
2032,teal,purple,gladiator armor,worm,construction hat,black red,pink stars glasses,0.6568732617187512,92,64d5b7aac48eb875e0454eec
1162,doom gloom,yellow,pajamas blue holding pillow,pipe,sunny side up,unibrow,glasses,0.6565796128388873,93,64d4eda3c76547f4aa0fbab7
1439,thunder,yellow,medal,worm,pirate hat,black red,glasses,0.6558909588611643,94,64d4ee9b1d86fd023d4187e5
1270,teal,green,detective suit,moustache big,firefighter hat,pumped up,sleep mask ,0.6542313183722254,95,64d4f4d3c76547f4aa221704
754,green chart,purple,sailor costume,normal,pilot helmet,not normal,glasses,0.6528861247762321,96,64d4e983c76547f4aa09da31
1347,green chart,purple,duck floaty,normal,tiara pink,normal gold,monocle,0.6528596168525382,97,64d4f5f6b75ebe5a32267677
391,teal,yellow,pocho,not normal,pirate hat,unibrow,red stylish glasses,0.6521984870625678,98,64d4f11f27f8488b6568e33a
1498,ninja,grey,clown outfit,big,rubber duck,normal gold,sunglasses,0.6506183366471373,99,64d5b5a927f8488b65dc93c4
464,doom gloom,black skull,clown outfit,small,lamp,normal gold,sunglasses smoll,0.64954544522493,100,64d5a95301156a16ec5b783d
2045,rainbow,blue,pink dress,normal,bucket,cyclops,goggles,0.6487463918036833,101,64d4f79027f8488b657aaea9
150,blue,yellow,green jacket,moustache small,firefighter hat,heart,sleep mask ,0.6477345396121366,102,64d4fc94e11651223b536890
1271,thunder,yellow,sailor costume,silver,straw hat,unibrow,pink stars glasses,0.6471677481190407,103,64d4ee4f1d86fd023d40eb0b
1861,blue,grey,pajamas blue holding pillow,moustache normal,captain hat,pumped up,goggles,0.6464202160990163,104,64d4ee3bc76547f4aa110e11
1206,blue,blue,baseball jersey,moustache normal,headset pink,normal gold,sunglasses,0.6461991654197476,105,64d56661e11651223ba0cd56
2055,teal,pink love,green jacket,moustache big,frogi,unibrow,sunglasses,0.6456471347394015,106,64d4ee20c76547f4aa10c4ee
1055,doom gloom,pink love,baseball jersey,small,firefighter hat,pumped up,sleep mask ,0.6443290585416799,107,64d5b697fe404d876f19ac91
1433,thunder,black skull,tracksuit navy blue,small,captain hat,pumped up,3d glasses,0.6429282675674587,108,64d4fabb27f8488b6581b3a5
1597,purple,blue,scarf,moustache normal,pan,black red,goggles,0.6415555061598797,109,64d4f23427f8488b656be2a3
2007,blue,brown,sailor costume,moustache big,chef hat,pumped up,sunglasses smoll,0.6413497128922385,110,64d4f5a2e11651223b448027
013,blue,brown,white shirt,worm,beanie,pumped up,green stylish glasses,0.64130055503958,111,64d4f312c76547f4aa1d2f49
769,diplo sky,black skull,gladiator armor,moustache normal,beanie,eyebrow,sunglasses,0.6404975653945209,112,64d4ee3ac76547f4aa110bd7
333,teal,black skull,cross necklace,moustache small,cone,unibrow,sunglasses smoll,0.6399641648155411,113,64d4f4d5c76547f4aa221fd6
599,teal,purple glitch,tracksuit navy blue,small,clown hat,crying,eye patch,0.6399094618322169,114,64d4f024c76547f4aa15646b
227,thunder,black skull,white shirt,gold normal,top hat,eyebrow,red stylish glasses,0.6395868289969772,115,64d4ee31c76547f4aa10eea2
1454,rain,black,construction vest,moustache normal,top hat,unibrow,glasses,0.6395435886495185,116,64d4ee631d86fd023d411538
2159,sun,green,firefighter uniform,small,captain hat,crying,brown aviator,0.63924493112765,117,64d5b7aac48eb875e0454f08
1919,blue,green,firefighter uniform,moustache big,viking,normal gold,glasses,0.6385362964471141,118,64d5b7a8fe404d876f19ba4c
901,purple,grey,farmer outfit,cigar,viking,unibrow,3d glasses,0.637100824675723,119,64d4f0ea27f8488b6568521a
560,grey,grey,gold necklace,small,captain hat,red laser,monocle,0.6363171860950017,120,64d4f42bb75ebe5a32217f78
167,blue,pink,baseball jersey,moustache normal,plunger,pumped up,glasses,0.6355899124840912,121,64d5af3b27f8488b65db86c4
1092,rain,purple,cop uniform,moustache small,sombrero hat,unibrow,sleep mask ,0.635445179510623,122,64d4f23227f8488b656bdef9
222,thunder,purple,gold necklace,small,brain,machine,sunglasses smoll,0.6345080976680553,123,64d56660e11651223ba0ccb4
823,space,green,gladiator armor,cigar,baseball cap,eyebrow,green stylish glasses,0.6334318928714343,124,64d4f4d6c76547f4aa22214c
1757,sun,pink,pink dress,big,viking,normal gold,glasses,0.6332140247675975,125,64d5b519e11651223bad1d0b
1820,doom gloom,pink,detective suit,big,clown hat,crying,snorkeling,0.631916253455821,126,64d5a95cfe404d876f17fc83
1648,sun,brown,white shirt,big,cowboy hat,crying,eye patch,0.6316572355212183,127,64d4f0261d86fd023d4499ec
607,rainbow,blue,scarf,normal,plant,black red,goggles,0.6314404202122376,128,64d5af3a27f8488b65db8618
944,sun,grey,green jacket,normal,brain,heart,green stylish glasses,0.631313899435772,129,64d4fef327f8488b65889915
1883,teal,fire red,cross necklace,big,apple,pumped up,sunglasses,0.6307637662638715,130,64d4df69c76547f4aaf8429a
556,beach,green,sailor costume,silver,chef hat,eyebrow,monocle,0.6307289160185828,131,64d4dfb9c5e0ce89f1f2f135
2008,red chart,black skull,gold necklace,worm,beanie,eyebrow,3d glasses,0.6301669512033755,132,64d4ef7bc76547f4aa13c463
278,sun,brown,firefighter uniform,small,gm,black red,green stylish glasses,0.629900522203106,133,64d4ee2ec5e0ce89f1098ed0
1047,teal,black skull,white shirt,big,crown king,heart,eye patch,0.6274743006368375,134,64d4efcec76547f4aa149822
208,aries constellation,black,medal,normal,viking,black red,goggles,0.6265149057401329,135,64d4f1adc76547f4aa197191
762,thunder,robot,chef,moustache big,rug!,eyebrow,green stylish glasses,0.6253044799992099,136,64d5b51601156a16ec5d0cae
2137,graveyard,green,pajamas blue holding pillow,normal,bucket,crying,sunglasses,0.622463727653686,137,64d4eedfc76547f4aa12777a
329,sun,green,baseball jersey,normal,watermelon,pumped up,sunglasses,0.622338814834456,138,64d4eeed1d86fd023d422358
103,thunder,green,construction vest,big,rug!,heart,sleep mask ,0.6216093482192854,139,64d4f215e11651223b3a8d40
1644,grey,black skull,white shirt,big,baseball cap,crying,green stylish glasses,0.6204885436735633,140,64d4ee9dc76547f4aa11f59a
1242,doom gloom,pink love,bowtie,normal,viking,black red,sunglasses,0.6198890393427584,141,64d4f1211d86fd023d45d34c
2135,doom gloom,purple glitch,karate uniform,big,apple,unibrow,sleep mask ,0.6192341323282994,142,64d4f77eb75ebe5a322a6b61
412,rainbow,brown,bowtie,normal,cop hat,crying,sunglasses smoll,0.6177787035022072,143,64d4f4d4c76547f4aa2219f3
541,purple,brown,hoodie blue,moustache small,cavalier hat ,unibrow,goggles,0.6167019921779794,144,64d4f02f1d86fd023d44a924
1963,doom gloom,yellow,gladiator armor,big,watermelon,pumped up,sunglasses,0.615371029522188,145,64d5a95cfe404d876f17fbf8
563,doom gloom,black,tracksuit navy blue,small,straw hat,heart,sleep mask ,0.6153038326036113,146,64d4ee46c76547f4aa1127c9
505,grey,pink,cross necklace,small,leprechaun's hat,green laser,3d glasses,0.6140086067071355,147,64d56660e11651223ba0cc9a
680,pink sky,pink,cross necklace,silver,headset pink,eyebrow,snorkeling,0.6135896501956324,148,64d5af3a27f8488b65db858a
1217,blue,pink love,pink dress,small,viking,crying,sleep mask ,0.6132584375277462,149,64d5b84e27f8488b65dcc5f6
2030,blue,green,leather jacket black,small,cowboy hat,rainbow laser,glasses,0.6121552079942245,150,64d4ee0e1d86fd023d406931
649,blue,grey,firefighter uniform,small,bullseye cap,machine gold,red stylish glasses,0.6115455568469554,151,64d4f2bab75ebe5a321d620d
2143,thunder,pink love,cop uniform,big,chef hat,unibrow,red stylish glasses,0.6109603793313721,152,64d4ed98c76547f4aa0fa5b3
1936,rain,blue,pocho,small,pirate hat,normal gold,sleep mask ,0.6104806390921138,153,64d5a95afe404d876f17fb41
1804,rainbow,brown,cross necklace,pipe,headlamp,eyebrow,sunglasses,0.6093115286128584,154,64d623881eeeee86cb8721ba
655,grey,pink,pocho,worm,cone,unibrow,sunglasses,0.609240707414945,155,64d4eed2c5e0ce89f10a3738
1993,doom gloom,green,gold necklace,big,bowler hat,normal gold,3d glasses,0.6086490970352383,156,64d5b85101156a16ec5d4ee7
1879,cancer constellation,grey,karate uniform,gold small,firefighter hat,normal,sunglasses,0.6083681183484851,157,64d4edcec76547f4aa100483
1340,purple,pink love,green jacket,small,cone,normal gold,sleep mask ,0.6081935596582726,158,64d4f33fe11651223b3dd397
824,doom gloom,purple,tracksuit navy blue,small,pirate hat,pumped up,brown aviator,0.6081141545990176,159,64d4ee13c5e0ce89f1097c1b
1817,doom gloom,brown,sailor costume,small,cone,heart,goggles,0.6076239659836506,160,64d5af46e11651223bac3747
120,space,yellow,pink dress,small,viking,unibrow,brown aviator,0.6063804641840805,161,64d4f150c76547f4aa185c7c
981,pink sky,blue,crewneck sweatshirt: pink,moustache big,watermelon,eyebrow,green stylish glasses,0.6061071906649452,162,64d4f0451d86fd023d44d5b7
1841,rain,brown,cop uniform,normal,lamp,machine,sleep mask ,0.6055742976564503,163,64d4f28be11651223b3bc504
1330,rain,yellow,white shirt,small,firefighter hat,normal gold,sunglasses,0.6040777584934182,164,64d4edee1d86fd023d402530
552,grey,pink,firefighter uniform,moustache normal,sombrero hat,unibrow,red stylish glasses,0.6040259256155903,165,64d5929727f8488b65d7ebf2
210,rain,brown,gladiator armor,normal,pajamas cap,normal gold,red stylish glasses,0.6035921180825138,166,64d5b519e11651223bad1cd5
168,rain,blue,green jacket,small,bucket,crying,sunglasses,0.6034218094084534,167,64d4fc0427f8488b6583ef73
1392,doom gloom,bone,none,none,rubber duck,none,eye patch,0.6023609398272372,168,64d4fe62b75ebe5a3237961a
1586,rainbow,purple,scarf,moustache small,rubber duck,eyebrow,goggles,0.6022404905309744,169,64d50275e11651223b5db3e2
1355,thunder,black skull,medal,worm,sunny side up,eyebrow,sunglasses smoll,0.6018855562619966,170,64d4f252c76547f4aa1b292e
1656,doom gloom,yellow,scarf,big,bucket,crying,sunglasses,0.6014982762650172,171,64d4ef43c76547f4aa13343a
1326,rainbow,blue,cop uniform,pipe,rubber duck,normal,snorkeling,0.5998547799559828,172,64d4f2d827f8488b656d998a
1924,purple,green,baseball jersey,moustache normal,viking,unibrow,sleep mask ,0.5995407459500536,173,64d4e6491d86fd023d34d3fa
515,aries constellation,purple,bowtie,moustache big,firefighter hat,eyebrow,eye patch,0.5988849389375718,174,64d4ee05c5e0ce89f10976dd
694,blue sky,pink,baseball jersey,small,headset pink,unibrow,sunglasses smoll,0.5985549110178064,175,64d4f0441d86fd023d44d37f
351,doom gloom,bone,none,none,pirate hat,none,eye patch,0.5976765226373637,176,64d4eda8c76547f4aa0fc53e
1651,blue,green,hoodie blue,small,lamp,normal gold,brown aviator,0.5973249111102227,177,64d4f4d4c76547f4aa22196c
1195,green chart,yellow,gladiator armor,moustache normal,baseball cap,eyebrow,pink stars glasses,0.5973155138791267,178,64d4f2f627f8488b656df670
495,blue,brown,white shirt,moustache big,lamp,unibrow,sunglasses,0.596879355008832,179,64d4f4d4c76547f4aa221d42
1518,rain,robot,karate uniform,pipe,gm,normal,3d glasses,0.5965939429981729,180,64d5b699c48eb875e0453896
558,rain,pink love,bowtie,big,watermelon,unibrow,pink stars glasses,0.5962390888627778,181,64d5b5a6c48eb875e04525fb
073,purple,black skull,pocho,silver,construction hat,eyebrow,green stylish glasses,0.5961497128186165,182,64d5b5a6c48eb875e04525ce
540,teal,grey,baseball jersey,small,halo,crying,brown aviator,0.5943028394936387,183,64d5b694e11651223bad4640
437,rain,boorb,pink dress,cigar,cavalier hat ,normal,green stylish glasses,0.5933496495098745,184,64d4f6f0e11651223b480fca
2093,green chart,brown,pocho,silver,halo,normal,eye patch,0.5927619115024043,185,64d4eef11d86fd023d422e6a
745,blue sky,blue,cop uniform,silver,poisoned apple,normal,sunglasses smoll,0.5925077411304418,186,64d4ee3f1d86fd023d40c879
2075,teal,blue,duck floaty,big,baseball cap,pumped up,eye patch,0.591728005996338,187,64d5b85101156a16ec5d4e26
766,grey,blue,pocho,big,rubber duck,black red,brown aviator,0.5913501526454119,188,64d5b696fe404d876f19abf6
1351,rain,green,chef,normal,sombrero hat,black red,eye patch,0.5909297797922086,189,64d4ed9d1d86fd023d3f873b
1690,teal,purple,white shirt,small,headband,heart,sleep mask ,0.5909206984916613,190,64d4f026c76547f4aa156a43
1219,blue sky,not berb,medal,small,rug!,eyebrow,eye patch,0.5906522664136775,191,64d4ed9ac76547f4aa0fa812
1954,thunder,yellow,tracksuit navy blue,normal,gm,crying,3d glasses,0.5895503410870083,192,64d4ff02b75ebe5a323892a7
2071,sun,not berb,karate uniform,big,leprechaun's hat,eyebrow,green stylish glasses,0.5882087835350113,193,64d5b5ab01156a16ec5d1ef0
154,grey,black skull,pocho,big,rubber duck,unibrow,3d glasses,0.5865036109478866,194,64d4f3d4b75ebe5a32208348
677,ninja,green,medal,normal,beanie,unibrow,3d glasses,0.5864370216349574,195,64d4f4d3c76547f4aa22170d
1923,purple,blue,crewneck sweatshirt: pink,big,pilot helmet,pumped up,eye patch,0.5861129684994769,196,64d5b5ab01156a16ec5d1f6a
1179,purple,purple,firefighter uniform,small,gm,heart,goggles,0.5860888080761428,197,64d4f545b75ebe5a322486b5
1346,teal,blue,purple jacket,normal,plunger,crying,sunglasses smoll,0.5852814697453024,198,64d4f1adc76547f4aa197188
634,purple,blue,green jacket,small,rug!,normal gold,glasses,0.5848524533564041,199,64d4f546e11651223b439b3d
1263,blue,green,firefighter uniform,small,apple,heart,green stylish glasses,0.582862827528699,200,64d4e08ec5e0ce89f1f4825f
2094,green chart,green,medal,moustache normal,pirate hat,eyebrow,sunglasses,0.5816961449800762,201,64d5b51ae11651223bad1d74
148,rain,green,pajamas blue holding pillow,cigar,sunny side up,eyebrow,sleep mask ,0.5816614662261954,202,64d4f163c76547f4aa1888fc
1381,grey,grey,leather jacket black,normal,headset pink,pumped up,sunglasses smoll,0.5808414500030488,203,64d4ef61c76547f4aa137b29
1625,purple,green,pink dress,small,clown hat,crying,sunglasses smoll,0.5804039983912385,204,64d4edbc1d86fd023d3fc57b
809,red chart,yellow,baseball jersey,silver,cowboy hat,normal,eye patch,0.579845707965831,205,64d4edf4c76547f4aa1059ec
1613,blue,pink,white shirt,big,rubber duck,heart,goggles,0.5794356234103691,206,64d4df8ec76547f4aaf87d02
058,rain,pink,tracksuit navy blue,normal,beanie,pumped up,eye patch,0.5792977884578998,207,64d5b5a5c48eb875e0452538
038,teal,green,gold necklace,small,headband,pumped up,goggles,0.5778730661990834,208,64d4f1e227f8488b656af074
140,blue,pink,pajamas blue holding pillow,big,brain,normal gold,sunglasses smoll,0.5772045420112427,209,64d4f25927f8488b656c52cf
1596,rain,yellow,bowtie,normal,cavalier hat ,crying,sunglasses,0.5767481277454463,210,64d4ee94c76547f4aa11df6e
1780,aries constellation,pink love,medal,small,gm,eyebrow,sunglasses smoll,0.5764699997852015,211,64d5b7a9fe404d876f19badb
1944,grey,brown,bowtie,small,cop hat,crying,glasses,0.5760075781415284,212,64d4ee88c76547f4aa11c6ae
738,rain,green,firefighter uniform,silver,rubber duck,eyebrow,goggles,0.5755545369971619,213,64d4f996b75ebe5a322f3b35
1949,thunder,green,crewneck sweatshirt: pink,big,bowler hat,unibrow,green stylish glasses,0.5753861796038918,214,64d4eede1d86fd023d4205da
520,doom gloom,black skull,cross necklace,moustache big,headband,normal,monocle,0.5750715536645442,215,64d5b694e11651223bad4678
668,thunder,black skull,tracksuit navy blue,pipe,bucket,normal,sleep mask ,0.5750044827126576,216,64d4feb227f8488b658833f2
1700,purple,grey,sailor costume,small,construction hat,pumped up,glasses,0.5744301656674448,217,64d4df68c76547f4aaf841ed
114,rain,pink,astronaut,big,pilot helmet,unibrow,pink stars glasses,0.5741070390158378,218,64d5227327f8488b65b75f1a
1689,teal,not berb,duck floaty,moustache small,clown hat,normal,glasses,0.5732051413392439,219,64d4ee22c76547f4aa10caab
