Filename;Title;Description;NbCopies;NbSelf;BACKGROUND;FEATHER;OUTWEAR;BEAK;HEADWEAR;EYES;EYEWEAR
087;RugBerb #087;Get Rugged;1;0;beach;yellow;clown outfit;small;watermelon;normal;3d glasses
088;RugBerb #088;Get Rugged;1;0;pink sky;green;none;normal;beanie;normal;pink stars glasses
089;RugBerb #089;Get Rugged;1;0;teal;purple;none;cigar;rubber duck;unibrow;none
090;RugBerb #090;Get Rugged;1;0;rainbow zigzag;purple glitch;egg;normal;none;normal;none
091;RugBerb #091;Get Rugged;1;0;Rain;pink;scarf;worm;cowboy hat;eyebrow;glasses
092;RugBerb #092;Get Rugged;1;0;purple;green;pink dress;Moustache normal;baseball cap;not normal;pink stars glasses
093;RugBerb #093;Get Rugged;1;0;teal;pink;cross necklace;moustache small;rubber duck;normal;3d glasses
094;RugBerb #094;Get Rugged;1;0;doom gloom;black;witch robe;big;GM;normal;eye patch
095;RugBerb #095;Get Rugged;1;0;Rain;blue;none;small;straw hat;black red;none
096;RugBerb #096;Get Rugged;1;0;sun;green;karate uniform;big;none;eyebrow;none
097;RugBerb #097;Get Rugged;1;0;purple;brown;detective suit;Moustache normal;headband;heart;none
098;RugBerb #098;Get Rugged;1;0;Rain;BOOrb;pajamas blue holding pillow;moustache small;tiara pink;unibrow;none
099;RugBerb #099;Get Rugged;1;0;rainbow zigzag;bone;egg;none;none;none;none
100;RugBerb #100;Get Rugged;1;0;Thunder;green;karate uniform;worm;none;normal;none
101;RugBerb #101;Get Rugged;1;0;Rain;pink;farmer outfit;Moustache big;none;unibrow;none
102;RugBerb #102;Get Rugged;1;0;purple;black;none;pipe;bucket;normal;none
103;RugBerb #103;Get Rugged;1;0;Thunder;green;construction vest;big;RUG!;heart;sleep mask 
104;RugBerb #104;Get Rugged;1;0;rainbow zigzag;BOOrb;egg;normal;none;normal;none
105;RugBerb #105;Get Rugged;1;0;purple zigzag;brown;egg;normal;none;normal;none
106;RugBerb #106;Get Rugged;1;0;Thunder;pink;white shirt;normal;construction hat;pumped up;none
107;RugBerb #107;Get Rugged;1;0;beach;yellow belly;medal;big;witch hat;eyebrow;none
108;RugBerb #108;Get Rugged;1;0;Aries constellation;yellow belly;green jacket;small;beanie;normal gold;green stylish glasses
109;RugBerb #109;Get Rugged;1;0;teal;yellow;pink dress;small;pan;crying;none
110;RugBerb #110;Get Rugged;1;0;Thunder;BOOrb;none;big;cone;eyebrow;sunglasses smoll
111;RugBerb #111;Get Rugged;1;0;purple zigzag;fire red;egg;normal;none;normal;none
112;RugBerb #112;Get Rugged;1;0;teal;yellow;none;Moustache normal;none;heart;brown aviator
113;RugBerb #113;Get Rugged;1;0;beach;grey;none;Moustache big;none;crying;3d glasses
114;RugBerb #114;Get Rugged;1;0;Rain;pink;Astronaut;big;Pilot helmet;unibrow;pink stars glasses
115;RugBerb #115;Get Rugged;1;0;grey;black;pink dress;small;none;normal;brown aviator
116;RugBerb #116;Get Rugged;1;0;green chart;pink;white shirt;Moustache normal;none;black red;none
117;RugBerb #117;Get Rugged;1;0;cancer constellation;yellow;scarf;normal;headset pink;cyclops;none
118;RugBerb #118;Get Rugged;1;0;doom gloom;blue;pajamas blue holding pillow;small;Viking;normal;sunglasses
119;RugBerb #119;Get Rugged;1;0;grey;black;none;moustache small;none;unibrow;none
120;RugBerb #120;Get Rugged;1;0;Space;yellow;pink dress;small;Viking;unibrow;brown aviator
121;RugBerb #121;Get Rugged;1;0;green chart;fire red;white shirt;worm;lamp;heart;sunglasses
122;RugBerb #122;Get Rugged;1;0;purple zigzag;green;egg;normal;none;normal;none
123;RugBerb #123;Get Rugged;1;0;grey;green;clown outfit;Moustache big;none;crying;none
124;RugBerb #124;Get Rugged;1;0;teal;BOOrb;medal;moustache small;none;eyebrow;glasses
125;RugBerb #125;Get Rugged;1;0;Rain;blue;none;Moustache normal;brain;unibrow;eye patch
126;RugBerb #126;Get Rugged;1;0;beach;purple;white shirt;moustache small;sunny side up;normal;none
127;RugBerb #127;Get Rugged;1;0;grey;grey;none;Moustache normal;none;machine gold;none
128;RugBerb #128;Get Rugged;1;0;Thunder;green;flower;cigar;none;normal;sleep mask 
129;RugBerb #129;Get Rugged;1;0;teal;yellow belly;none;not normal;none;eyebrow;eye patch
130;RugBerb #130;Get Rugged;1;0;Rain;robot;detective suit;Moustache big;none;eyebrow;none
131;RugBerb #131;Get Rugged;1;0;purple;yellow belly;detective suit;Moustache normal;top hat;normal;pink stars glasses
132;RugBerb #132;Get Rugged;1;0;purple;brown;clown outfit;small;bowler hat;heart;none
133;RugBerb #133;Get Rugged;1;0;Rain;green;white shirt;Moustache normal;firefighter hat;eyebrow;none
134;RugBerb #134;Get Rugged;1;0;Aries constellation;yellow;Astronaut;small;none;unibrow;none
135;RugBerb #135;Get Rugged;1;0;blue;pink;bowtie;normal;Bullseye cap;pumped up;goggles
136;RugBerb #136;Get Rugged;1;0;green chart;purple;cop uniform;normal;none;normal gold;none
137;RugBerb #137;Get Rugged;1;0;purple;purple;farmer outfit;big;captain hat;normal gold;none
138;RugBerb #138;Get Rugged;1;0;graveyard;BOOrb;karate uniform;small;pajamas cap;unibrow;none
139;RugBerb #139;Get Rugged;1;0;red chart;purple;karate uniform;normal;apple;normal;pink stars glasses
140;RugBerb #140;Get Rugged;1;0;blue;pink;pajamas blue holding pillow;big;brain;normal gold;sunglasses smoll
141;RugBerb #141;Get Rugged;1;0;grey;purple;bowtie;big;GM;eyebrow;none
142;RugBerb #142;Get Rugged;1;0;grey;green;none;Moustache normal;none;unibrow;none
143;RugBerb #143;Get Rugged;1;0;teal;black skull;none;Moustache big;none;normal;none
144;RugBerb #144;Get Rugged;1;0;teal;pink love;none;pipe;cop hat;normal;none
145;RugBerb #145;Get Rugged;1;0;blue;purple;chef;Moustache big;top hat;heart;none
146;RugBerb #146;Get Rugged;1;0;grey;yellow belly;purple jacket;cigar;RUG!;normal;pink stars glasses
147;RugBerb #147;Get Rugged;1;0;red chart;blue;clown outfit;moustache small;cop hat;normal;eye patch
148;RugBerb #148;Get Rugged;1;0;Rain;green;pajamas blue holding pillow;cigar;sunny side up;eyebrow;sleep mask 
149;RugBerb #149;Get Rugged;1;0;red chart;green;white shirt;small;headband;black red;none
150;RugBerb #150;Get Rugged;1;0;blue;yellow;green jacket;moustache small;firefighter hat;heart;sleep mask 
151;RugBerb #151;Get Rugged;1;0;Thunder;pink love;clown outfit;worm;cone;pumped up;none
152;RugBerb #152;Get Rugged;1;0;Thunder;purple;farmer outfit;Moustache big;lamp;unibrow;none
153;RugBerb #153;Get Rugged;1;0;Rain;grey;none;pipe;none;cyclops;none
154;RugBerb #154;Get Rugged;1;0;grey;black skull;pocho;big;rubber duck;unibrow;3d glasses
155;RugBerb #155;Get Rugged;1;0;Ninja;green;none;small;headlamp;normal;none
156;RugBerb #156;Get Rugged;1;0;purple zigzag;grey;egg;normal;none;normal;none
157;RugBerb #157;Get Rugged;1;0;Aries constellation;blue;none;normal;rubber duck;crying;none
158;RugBerb #158;Get Rugged;1;0;doom gloom;pink;none;worm;none;black red;none
159;RugBerb #159;Get Rugged;1;0;purple;black;gold necklace;big;poisoned apple;eyebrow;none
160;RugBerb #160;Get Rugged;1;0;Rain;grey;none;Moustache normal;cop hat;eyebrow;none
161;RugBerb #161;Get Rugged;1;0;purple;purple glitch;bowtie;big;none;eyebrow;none
162;RugBerb #162;Get Rugged;1;0;Rain;black;clown outfit;big;none;red laser;none
163;RugBerb #163;Get Rugged;1;0;doom gloom;grey;baseball jersey;Moustache big;none;crying;green stylish glasses
164;RugBerb #164;Get Rugged;1;0;grey;purple;none;normal;pirate hat;cyclops;none
165;RugBerb #165;Get Rugged;1;0;Thunder;green;none;Moustache big;none;eyebrow;none
166;RugBerb #166;Get Rugged;1;0;purple;yellow belly;green jacket;small;cone;pumped up;none
167;RugBerb #167;Get Rugged;1;0;blue;pink;baseball jersey;Moustache normal;plunger;pumped up;glasses
168;RugBerb #168;Get Rugged;1;0;Rain;blue;green jacket;small;bucket;crying;sunglasses
169;RugBerb #169;Get Rugged;1;0;purple;blue;sailor costume;big;straw hat;black red;none
170;RugBerb #170;Get Rugged;1;0;purple;yellow belly;none;small;apple;eyebrow;none
171;RugBerb #171;Get Rugged;1;0;blue;blue;leather jacket black;normal;none;crying;none
172;RugBerb #172;Get Rugged;1;0;doom gloom;pink;cop uniform;cigar;none;normal;none
173;RugBerb #173;Get Rugged;1;0;doom gloom;pink love;none;big;none;crying;none
174;RugBerb #174;Get Rugged;1;0;blue sky;blue;scarf;normal;cone;crying;none
175;RugBerb #175;Get Rugged;1;0;purple;purple;green jacket;not normal;cowboy hat;pumped up;none
176;RugBerb #176;Get Rugged;1;0;purple;pink;none;worm;pajamas cap;eyebrow;none
177;RugBerb #177;Get Rugged;1;0;grey;grey;karate uniform;small;firefighter hat;normal;sunglasses smoll
178;RugBerb #178;Get Rugged;1;0;sun;black;none;normal;headband;pumped up;none
179;RugBerb #179;Get Rugged;1;0;pink sky;brown;pink dress;Moustache normal;witch hat;unibrow;3d glasses
180;RugBerb #180;Get Rugged;1;0;teal;purple glitch;pocho;Moustache big;none;normal;red stylish glasses
181;RugBerb #181;Get Rugged;1;0;Thunder;blue;tracksuit navy blue;Moustache big;cavalier hat ;normal;none
182;RugBerb #182;Get Rugged;1;0;Thunder;grey;tracksuit navy blue;silver;RUG!;normal;green stylish glasses
183;RugBerb #183;Get Rugged;1;0;teal;brown;none;pipe;none;normal;none
184;RugBerb #184;Get Rugged;1;0;graveyard;yellow;cop uniform;small;top hat;normal;goggles
185;RugBerb #185;Get Rugged;1;0;doom gloom;brown;medal;worm;leprechaun's hat;normal gold;none
186;RugBerb #186;Get Rugged;1;0;rainbow;blue;none;normal;pirate hat;black red;red stylish glasses
187;RugBerb #187;Get Rugged;1;0;doom gloom;purple;cop uniform;cigar;bowler hat;unibrow;none
188;RugBerb #188;Get Rugged;1;0;Thunder;yellow belly;none;small;none;black red;none
189;RugBerb #189;Get Rugged;1;0;blue sky;not berb;none;normal;tiara pink;unibrow;none
190;RugBerb #190;Get Rugged;1;0;purple;black;duck floaty;normal;none;heart;none
191;RugBerb #191;Get Rugged;1;0;sun;black;scarf;normal;bucket;eyebrow;brown aviator
192;RugBerb #192;Get Rugged;1;0;Rain;purple;construction vest;Moustache normal;cop hat;machine;none
193;RugBerb #193;Get Rugged;1;0;purple zigzag;yellow;egg;normal;none;normal;none
194;RugBerb #194;Get Rugged;1;0;green chart;yellow belly;cross necklace;silver;none;normal;none
195;RugBerb #195;Get Rugged;1;0;blue;black;none;normal;none;normal;sunglasses
196;RugBerb #196;Get Rugged;1;0;Thunder;yellow belly;none;gold small;cone;eyebrow;none
197;RugBerb #197;Get Rugged;1;0;rainbow zigzag;pink;egg;normal;none;normal;none
198;RugBerb #198;Get Rugged;1;0;grey;purple;none;small;none;unibrow;none
199;RugBerb #199;Get Rugged;1;0;purple;yellow belly;bowtie;cigar;headset pink;normal gold;none
200;RugBerb #200;Get Rugged;1;0;purple;black;witch robe;Moustache normal;beanie;rainbow laser;none
201;RugBerb #201;Get Rugged;1;0;blue;fire blue;cross necklace;big;none;eyebrow;none
202;RugBerb #202;Get Rugged;1;0;beach;pink love;gold necklace;small;none;eyebrow;none
203;RugBerb #203;Get Rugged;1;0;rainbow zigzag;purple;egg;normal;none;normal;none
204;RugBerb #204;Get Rugged;1;0;sun;black;none;normal;lamp;eyebrow;none
205;RugBerb #205;Get Rugged;1;0;Rain;black;witch robe;worm;none;black red;none
206;RugBerb #206;Get Rugged;1;0;Rain;green;bowtie;Moustache big;none;eyebrow;none
207;RugBerb #207;Get Rugged;1;0;Rain;purple;tracksuit navy blue;small;straw hat;normal;none
208;RugBerb #208;Get Rugged;1;0;Aries constellation;black;medal;normal;Viking;black red;goggles
209;RugBerb #209;Get Rugged;1;0;grey;purple;gladiator armor;Moustache big;none;normal;glasses
210;RugBerb #210;Get Rugged;1;0;Rain;brown;gladiator armor;normal;pajamas cap;normal gold;red stylish glasses
211;RugBerb #211;Get Rugged;1;0;Thunder;BOOrb;pajamas blue holding pillow;moustache small;cone;normal;none
212;RugBerb #212;Get Rugged;1;0;teal;green;none;cigar;none;normal;none
213;RugBerb #213;Get Rugged;1;0;teal;blue;cross necklace;normal;tiara pink;black red;none
214;RugBerb #214;Get Rugged;1;0;pink sky;green;none;big;straw hat;normal;none
215;RugBerb #215;Get Rugged;1;0;purple;yellow;cross necklace;big;none;not normal;none
216;RugBerb #216;Get Rugged;1;0;purple;blue;karate uniform;moustache small;frogi;normal;none
217;RugBerb #217;Get Rugged;1;0;sun;pink;green jacket;normal;cone;eyebrow;none
218;RugBerb #218;Get Rugged;1;0;blue;black;none;silver;beanie;crying;none
219;RugBerb #219;Get Rugged;1;0;Rain;grey;scarf;small;none;normal;none
220;RugBerb #220;Get Rugged;1;0;teal;purple;karate uniform;small;none;eyebrow;goggles
221;RugBerb #221;Get Rugged;1;0;blue sky;brown;none;big;frogi;black red;none
222;RugBerb #222;Get Rugged;1;0;Thunder;purple;gold necklace;small;brain;machine;sunglasses smoll
223;RugBerb #223;Get Rugged;1;0;doom gloom;purple;tracksuit navy blue;normal;none;black red;none
224;RugBerb #224;Get Rugged;1;0;Rain;brown;bowtie;small;cavalier hat ;machine;none
225;RugBerb #225;Get Rugged;1;0;rainbow;robot;firefighter uniform;big;chef hat;black red;none
226;RugBerb #226;Get Rugged;1;0;Rain;pink;medal;normal;cone;normal;none
227;RugBerb #227;Get Rugged;1;0;Thunder;black skull;white shirt;gold normal;top hat;eyebrow;red stylish glasses
228;RugBerb #228;Get Rugged;1;0;blue;brown;cross necklace;moustache small;cowboy hat;eyebrow;none
229;RugBerb #229;Get Rugged;1;0;teal;robot;white shirt;big;none;eyebrow;none
230;RugBerb #230;Get Rugged;1;0;purple;brown;none;normal;gladiator helmet;eyebrow;none
231;RugBerb #231;Get Rugged;1;0;purple;grey;firefighter uniform;worm;none;eyebrow;pink stars glasses
232;RugBerb #232;Get Rugged;1;0;blue;black;construction vest;not normal;basquiat's crown;pumped up;none
233;RugBerb #233;Get Rugged;1;0;doom gloom;black;pocho;big;plunger;red laser gold;none
234;RugBerb #234;Get Rugged;1;0;Thunder;yellow;pajamas blue holding pillow;normal;none;cyclops;none
235;RugBerb #235;Get Rugged;1;0;grey;brown;none;normal;headlamp;machine gold;sunglasses smoll
236;RugBerb #236;Get Rugged;1;0;blue;brown;none;moustache small;poisoned apple;machine gold;eye patch
237;RugBerb #237;Get Rugged;1;0;Thunder;yellow;none;cigar;none;normal;goggles
238;RugBerb #238;Get Rugged;1;0;beach;black;crewneck sweatshirt: pink;small;cone;normal;none
239;RugBerb #239;Get Rugged;1;0;purple;pink love;gold necklace;normal;none;normal;none
240;RugBerb #240;Get Rugged;1;0;Rain;green;pink dress;moustache small;none;black red;none
241;RugBerb #241;Get Rugged;1;0;Thunder;pink;white shirt;Moustache normal;none;cyclops;none
242;RugBerb #242;Get Rugged;1;0;blue;yellow;none;normal;cowboy hat;red laser;none
243;RugBerb #243;Get Rugged;1;0;teal;purple;leather jacket black;normal;none;unibrow;none
244;RugBerb #244;Get Rugged;1;0;blue;pink;pajamas blue holding pillow;small;none;normal;brown aviator
245;RugBerb #245;Get Rugged;1;0;blue;grey;bowtie;big;pirate hat;eyebrow;none
246;RugBerb #246;Get Rugged;1;0;blue;brown;none;moustache small;apple;normal;none
247;RugBerb #247;Get Rugged;1;0;doom gloom;grey;none;normal;RUG!;eyebrow;goggles
248;RugBerb #248;Get Rugged;1;0;blue;pink;none;small;none;eyebrow;none
249;RugBerb #249;Get Rugged;1;0;cancer constellation;black skull;firefighter uniform;normal;apple;black red;monocle
250;RugBerb #250;Get Rugged;1;0;rainbow zigzag;stone;egg;normal;none;normal;none
251;RugBerb #251;Get Rugged;1;0;Rain;grey;scarf;pipe;none;machine;none
252;RugBerb #252;Get Rugged;1;0;grey;brown;pajamas blue holding pillow;Moustache big;cowboy hat;normal gold;none
253;RugBerb #253;Get Rugged;1;0;doom gloom;black;none;Moustache big;none;normal;none
254;RugBerb #254;Get Rugged;1;0;doom gloom;purple;white shirt;normal;none;eyebrow;none
255;RugBerb #255;Get Rugged;1;0;grey;brown;medal;Moustache normal;beanie;normal;none
256;RugBerb #256;Get Rugged;1;0;grey;brown;none;Moustache normal;brain;normal;none
257;RugBerb #257;Get Rugged;1;0;blue;blue;firefighter uniform;normal;none;eyebrow;none
258;RugBerb #258;Get Rugged;1;0;sun;yellow;pajamas blue holding pillow;normal;none;rainbow laser;none
259;RugBerb #259;Get Rugged;1;0;grey;purple;witch robe;small;cowboy hat;normal;eye patch
260;RugBerb #260;Get Rugged;1;0;purple;grey;none;normal;none;black red;3d glasses
261;RugBerb #261;Get Rugged;1;0;Thunder;black skull;medal;worm;Bullseye cap;normal;none
262;RugBerb #262;Get Rugged;1;0;grey;brown;farmer outfit;cigar;beanie;unibrow;none
263;RugBerb #263;Get Rugged;1;0;purple;purple;scarf;gold small;chef hat;red laser gold;none
